0.86
class4,p
Ib,0.5058823529411764
Ib,0.48823529411764705
Ib,0.49411764705882355
Ib,0.5235294117647059
Ib,0.5235294117647059
nonevent,0.3352941176470588
nonevent,0.35294117647058826
nonevent,0.3941176470588235
nonevent,0.38823529411764707
nonevent,0.3588235294117647
Ib,0.5117647058823529
Ia,0.5588235294117647
Ib,0.5235294117647059
nonevent,0.4470588235294118
Ib,0.5235294117647059
nonevent,0.4235294117647059
nonevent,0.4470588235294118
Ib,0.5235294117647059
nonevent,0.45294117647058824
Ia,0.5117647058823529
Ia,0.5588235294117647
Ib,0.5235294117647059
Ib,0.5235294117647059
nonevent,0.4176470588235294
Ia,0.5529411764705883
Ib,0.5235294117647059
Ia,0.5411764705882353
nonevent,0.4647058823529412
Ib,0.5058823529411764
Ib,0.5058823529411764
nonevent,0.32941176470588235
nonevent,0.34705882352941175
Ib,0.5235294117647059
nonevent,0.38235294117647056
nonevent,0.3941176470588235
Ib,0.5411764705882353
Ib,0.5117647058823529
nonevent,0.4647058823529412
Ib,0.4823529411764706
nonevent,0.4
Ib,0.5176470588235295
Ia,0.5470588235294118
nonevent,0.4235294117647059
Ib,0.4764705882352941
Ia,0.5470588235294118
nonevent,0.4117647058823529
nonevent,0.4470588235294118
nonevent,0.3352941176470588
Ib,0.48823529411764705
nonevent,0.38235294117647056
nonevent,0.35294117647058826
Ia,0.5294117647058824
nonevent,0.3235294117647059
Ib,0.4823529411764706
Ib,0.5235294117647059
Ib,0.5058823529411764
Ib,0.4588235294117647
Ia,0.5411764705882353
Ib,0.5235294117647059
Ib,0.5058823529411764
Ib,0.5
nonevent,0.3941176470588235
nonevent,0.4588235294117647
Ib,0.45294117647058824
nonevent,0.3352941176470588
Ia,0.5647058823529412
nonevent,0.38823529411764707
Ib,0.5764705882352941
nonevent,0.45294117647058824
Ia,0.5411764705882353
Ia,0.5352941176470588
Ib,0.5352941176470588
Ib,0.4588235294117647
Ib,0.5235294117647059
nonevent,0.4470588235294118
Ib,0.4764705882352941
nonevent,0.4235294117647059
nonevent,0.34705882352941175
Ib,0.4647058823529412
nonevent,0.45294117647058824
nonevent,0.45294117647058824
Ia,0.5235294117647059
Ib,0.5235294117647059
Ib,0.5235294117647059
Ib,0.48823529411764705
nonevent,0.3176470588235294
Ib,0.5176470588235295
nonevent,0.4470588235294118
Ia,0.5705882352941176
Ib,0.5
Ib,0.5235294117647059
nonevent,0.45294117647058824
Ia,0.5764705882352941
nonevent,0.45294117647058824
Ib,0.4647058823529412
Ib,0.49411764705882355
Ia,0.48823529411764705
Ib,0.4764705882352941
nonevent,0.4
Ia,0.5529411764705883
Ia,0.5235294117647059
Ib,0.5235294117647059
Ib,0.5294117647058824
nonevent,0.36470588235294116
Ib,0.5235294117647059
Ia,0.5588235294117647
nonevent,0.4
nonevent,0.36470588235294116
Ib,0.5235294117647059
Ib,0.5176470588235295
Ib,0.45294117647058824
Ib,0.5235294117647059
Ib,0.49411764705882355
Ib,0.48823529411764705
Ib,0.48823529411764705
Ib,0.4764705882352941
Ib,0.49411764705882355
Ib,0.5235294117647059
nonevent,0.37058823529411766
Ib,0.5176470588235295
Ia,0.5411764705882353
nonevent,0.45294117647058824
nonevent,0.31176470588235294
nonevent,0.45294117647058824
Ib,0.5235294117647059
Ib,0.5176470588235295
nonevent,0.4176470588235294
Ib,0.5117647058823529
Ia,0.5529411764705883
nonevent,0.4411764705882353
nonevent,0.4647058823529412
nonevent,0.36470588235294116
Ib,0.5352941176470588
Ib,0.5176470588235295
nonevent,0.3411764705882353
Ib,0.5058823529411764
nonevent,0.3941176470588235
Ia,0.5588235294117647
Ib,0.5235294117647059
Ib,0.5176470588235295
nonevent,0.40588235294117647
Ib,0.5235294117647059
Ib,0.5235294117647059
nonevent,0.4470588235294118
nonevent,0.4588235294117647
nonevent,0.40588235294117647
Ib,0.4411764705882353
Ib,0.5235294117647059
Ib,0.5235294117647059
Ib,0.5235294117647059
nonevent,0.4
Ib,0.5235294117647059
Ia,0.5352941176470588
Ib,0.5058823529411764
Ia,0.5235294117647059
nonevent,0.4176470588235294
Ib,0.5117647058823529
Ib,0.5235294117647059
Ib,0.5470588235294118
nonevent,0.35294117647058826
Ib,0.5235294117647059
Ia,0.5588235294117647
Ib,0.5117647058823529
Ib,0.5058823529411764
Ib,0.5235294117647059
Ia,0.5529411764705883
Ib,0.4647058823529412
Ib,0.5235294117647059
nonevent,0.36470588235294116
Ib,0.5235294117647059
nonevent,0.3352941176470588
Ia,0.5294117647058824
nonevent,0.3941176470588235
nonevent,0.37058823529411766
Ib,0.5235294117647059
nonevent,0.38235294117647056
Ib,0.5117647058823529
nonevent,0.4
Ib,0.5117647058823529
Ib,0.5117647058823529
nonevent,0.45294117647058824
nonevent,0.3764705882352941
nonevent,0.43529411764705883
Ia,0.5588235294117647
nonevent,0.43529411764705883
nonevent,0.43529411764705883
Ia,0.5764705882352941
Ib,0.45294117647058824
Ib,0.4823529411764706
Ib,0.5235294117647059
Ib,0.4647058823529412
Ia,0.5588235294117647
Ia,0.5529411764705883
nonevent,0.35294117647058826
Ib,0.5058823529411764
nonevent,0.4176470588235294
nonevent,0.4235294117647059
Ib,0.4588235294117647
Ib,0.5235294117647059
nonevent,0.4294117647058823
nonevent,0.4470588235294118
Ia,0.5352941176470588
Ib,0.5176470588235295
Ib,0.49411764705882355
Ib,0.49411764705882355
Ib,0.4470588235294118
nonevent,0.4117647058823529
nonevent,0.4470588235294118
nonevent,0.4176470588235294
Ib,0.48823529411764705
nonevent,0.4117647058823529
Ia,0.5470588235294118
nonevent,0.40588235294117647
Ib,0.5058823529411764
nonevent,0.3352941176470588
Ia,0.5588235294117647
nonevent,0.4117647058823529
nonevent,0.3588235294117647
Ia,0.5411764705882353
Ib,0.5235294117647059
Ib,0.5235294117647059
Ib,0.5235294117647059
nonevent,0.47058823529411764
Ib,0.4823529411764706
Ib,0.5
Ib,0.5058823529411764
nonevent,0.45294117647058824
nonevent,0.40588235294117647
Ia,0.5235294117647059
Ib,0.49411764705882355
Ib,0.49411764705882355
Ib,0.5117647058823529
Ib,0.5176470588235295
Ib,0.5176470588235295
nonevent,0.32941176470588235
Ib,0.5235294117647059
Ia,0.5294117647058824
Ib,0.5
Ib,0.5058823529411764
Ib,0.49411764705882355
nonevent,0.36470588235294116
Ia,0.5352941176470588
Ib,0.5176470588235295
nonevent,0.4294117647058823
nonevent,0.4176470588235294
Ib,0.5235294117647059
nonevent,0.4
nonevent,0.3588235294117647
nonevent,0.38235294117647056
nonevent,0.4823529411764706
Ib,0.45294117647058824
nonevent,0.38823529411764707
Ib,0.47058823529411764
Ia,0.5235294117647059
nonevent,0.45294117647058824
nonevent,0.3352941176470588
Ib,0.5235294117647059
nonevent,0.4176470588235294
nonevent,0.3764705882352941
Ib,0.5235294117647059
nonevent,0.4647058823529412
nonevent,0.43529411764705883
Ia,0.5588235294117647
Ib,0.45294117647058824
Ib,0.5058823529411764
Ib,0.5117647058823529
Ib,0.5411764705882353
Ib,0.45294117647058824
nonevent,0.38235294117647056
Ib,0.5235294117647059
nonevent,0.35294117647058826
nonevent,0.3941176470588235
Ib,0.5117647058823529
nonevent,0.38235294117647056
nonevent,0.3764705882352941
nonevent,0.4117647058823529
Ib,0.5176470588235295
nonevent,0.35294117647058826
Ib,0.5117647058823529
Ib,0.49411764705882355
nonevent,0.4588235294117647
Ia,0.5411764705882353
Ib,0.5058823529411764
Ib,0.5058823529411764
Ib,0.5235294117647059
nonevent,0.3764705882352941
Ib,0.4470588235294118
Ia,0.5647058823529412
Ib,0.5235294117647059
nonevent,0.4
nonevent,0.4588235294117647
nonevent,0.36470588235294116
Ib,0.5235294117647059
nonevent,0.38823529411764707
Ia,0.5588235294117647
Ia,0.5235294117647059
Ib,0.5
nonevent,0.40588235294117647
nonevent,0.38235294117647056
nonevent,0.4117647058823529
Ib,0.5117647058823529
Ia,0.5411764705882353
Ib,0.5176470588235295
Ia,0.5294117647058824
Ib,0.4823529411764706
nonevent,0.32941176470588235
Ib,0.5235294117647059
nonevent,0.3176470588235294
Ib,0.5176470588235295
nonevent,0.4
nonevent,0.36470588235294116
nonevent,0.34705882352941175
nonevent,0.3588235294117647
Ib,0.4235294117647059
nonevent,0.40588235294117647
nonevent,0.4823529411764706
Ib,0.5235294117647059
Ib,0.5058823529411764
nonevent,0.47058823529411764
Ib,0.4823529411764706
Ia,0.5411764705882353
Ib,0.5235294117647059
Ib,0.5235294117647059
nonevent,0.40588235294117647
Ib,0.5235294117647059
nonevent,0.3352941176470588
Ib,0.5235294117647059
Ia,0.4823529411764706
nonevent,0.4823529411764706
Ib,0.5176470588235295
Ib,0.5235294117647059
Ib,0.5235294117647059
Ia,0.5647058823529412
nonevent,0.45294117647058824
Ib,0.5235294117647059
nonevent,0.4176470588235294
nonevent,0.36470588235294116
Ib,0.5117647058823529
nonevent,0.3352941176470588
Ia,0.5294117647058824
Ia,0.5529411764705883
Ib,0.5235294117647059
Ib,0.5176470588235295
nonevent,0.4470588235294118
Ia,0.5529411764705883
Ib,0.5
nonevent,0.3941176470588235
Ib,0.5235294117647059
Ia,0.5647058823529412
nonevent,0.4117647058823529
nonevent,0.4176470588235294
nonevent,0.4470588235294118
Ib,0.5117647058823529
nonevent,0.45294117647058824
Ib,0.5117647058823529
Ia,0.5529411764705883
nonevent,0.45294117647058824
Ib,0.47058823529411764
nonevent,0.32941176470588235
Ib,0.5176470588235295
Ib,0.4764705882352941
Ib,0.5058823529411764
Ib,0.5235294117647059
Ib,0.4823529411764706
nonevent,0.35294117647058826
nonevent,0.47058823529411764
Ib,0.5235294117647059
Ib,0.5235294117647059
Ia,0.5411764705882353
Ib,0.5176470588235295
Ia,0.5529411764705883
Ib,0.5117647058823529
nonevent,0.4
nonevent,0.36470588235294116
Ib,0.5117647058823529
nonevent,0.3941176470588235
nonevent,0.4764705882352941
nonevent,0.3764705882352941
Ib,0.5117647058823529
Ib,0.5235294117647059
Ib,0.5235294117647059
Ib,0.5176470588235295
Ia,0.5647058823529412
Ib,0.5235294117647059
Ib,0.5235294117647059
Ib,0.5235294117647059
nonevent,0.4117647058823529
Ia,0.5470588235294118
nonevent,0.4294117647058823
nonevent,0.34705882352941175
nonevent,0.45294117647058824
Ib,0.43529411764705883
Ia,0.5647058823529412
Ib,0.5058823529411764
nonevent,0.40588235294117647
Ib,0.5
nonevent,0.4470588235294118
nonevent,0.35294117647058826
Ib,0.5235294117647059
nonevent,0.3411764705882353
Ib,0.5176470588235295
Ib,0.5235294117647059
nonevent,0.38235294117647056
Ib,0.5235294117647059
nonevent,0.32941176470588235
Ia,0.5647058823529412
nonevent,0.3588235294117647
nonevent,0.4176470588235294
nonevent,0.4588235294117647
nonevent,0.34705882352941175
nonevent,0.40588235294117647
Ib,0.5176470588235295
nonevent,0.4
nonevent,0.4
nonevent,0.3588235294117647
Ib,0.5235294117647059
Ib,0.5058823529411764
Ib,0.5294117647058824
Ia,0.5470588235294118
Ib,0.5235294117647059
nonevent,0.4235294117647059
Ib,0.5235294117647059
Ia,0.5352941176470588
nonevent,0.3235294117647059
Ib,0.4823529411764706
nonevent,0.45294117647058824
nonevent,0.4
Ia,0.5588235294117647
nonevent,0.3411764705882353
nonevent,0.4294117647058823
Ib,0.4235294117647059
Ib,0.5235294117647059
Ib,0.5235294117647059
Ia,0.5294117647058824
Ib,0.5235294117647059
Ia,0.5352941176470588
Ib,0.5117647058823529
Ib,0.5176470588235295
nonevent,0.4
Ia,0.5588235294117647
nonevent,0.32941176470588235
Ia,0.5588235294117647
nonevent,0.4411764705882353
Ib,0.5176470588235295
nonevent,0.3588235294117647
Ia,0.5411764705882353
nonevent,0.36470588235294116
Ib,0.5235294117647059
nonevent,0.4294117647058823
nonevent,0.34705882352941175
nonevent,0.3
nonevent,0.32941176470588235
Ib,0.5235294117647059
Ib,0.5
nonevent,0.4
nonevent,0.4117647058823529
nonevent,0.31176470588235294
nonevent,0.3235294117647059
Ia,0.5470588235294118
Ib,0.5176470588235295
Ib,0.5235294117647059
Ib,0.5235294117647059
Ia,0.5529411764705883
nonevent,0.35294117647058826
Ib,0.5058823529411764
Ib,0.5235294117647059
nonevent,0.35294117647058826
nonevent,0.3352941176470588
Ib,0.5235294117647059
Ib,0.5058823529411764
Ia,0.5470588235294118
Ib,0.5117647058823529
nonevent,0.3235294117647059
nonevent,0.4117647058823529
Ib,0.5117647058823529
Ib,0.5294117647058824
nonevent,0.38235294117647056
nonevent,0.35294117647058826
Ib,0.5117647058823529
Ib,0.5235294117647059
Ib,0.5058823529411764
Ib,0.5176470588235295
Ib,0.5235294117647059
Ib,0.5470588235294118
Ib,0.5235294117647059
nonevent,0.38823529411764707
Ia,0.5411764705882353
nonevent,0.3764705882352941
nonevent,0.3411764705882353
Ib,0.5176470588235295
Ib,0.5235294117647059
Ib,0.5235294117647059
Ib,0.5
Ib,0.47058823529411764
nonevent,0.35294117647058826
nonevent,0.38235294117647056
Ib,0.5411764705882353
Ib,0.5235294117647059
Ib,0.49411764705882355
Ia,0.5235294117647059
nonevent,0.36470588235294116
nonevent,0.4470588235294118
Ib,0.5
Ib,0.5235294117647059
Ib,0.45294117647058824
nonevent,0.3588235294117647
Ib,0.45294117647058824
nonevent,0.4470588235294118
Ib,0.5176470588235295
Ib,0.5117647058823529
nonevent,0.4470588235294118
nonevent,0.4470588235294118
Ib,0.4588235294117647
Ib,0.5235294117647059
Ia,0.5647058823529412
Ib,0.5058823529411764
Ib,0.49411764705882355
Ib,0.4411764705882353
nonevent,0.4176470588235294
Ib,0.5058823529411764
Ib,0.5176470588235295
nonevent,0.4176470588235294
Ib,0.5
Ib,0.5117647058823529
nonevent,0.4235294117647059
Ib,0.4647058823529412
Ib,0.5294117647058824
Ib,0.4588235294117647
nonevent,0.3941176470588235
Ib,0.5058823529411764
nonevent,0.3941176470588235
Ia,0.5647058823529412
Ib,0.4764705882352941
nonevent,0.4235294117647059
nonevent,0.4411764705882353
Ib,0.5058823529411764
Ib,0.5176470588235295
Ib,0.5176470588235295
Ib,0.5117647058823529
nonevent,0.4823529411764706
Ia,0.5588235294117647
nonevent,0.45294117647058824
nonevent,0.35294117647058826
Ib,0.5235294117647059
Ib,0.5
Ib,0.5294117647058824
nonevent,0.4117647058823529
nonevent,0.45294117647058824
nonevent,0.4470588235294118
Ib,0.4470588235294118
Ia,0.5352941176470588
Ib,0.5
Ia,0.5647058823529412
Ia,0.5882352941176471
Ib,0.5235294117647059
nonevent,0.35294117647058826
nonevent,0.34705882352941175
nonevent,0.45294117647058824
nonevent,0.3176470588235294
nonevent,0.4470588235294118
Ib,0.5352941176470588
Ia,0.5411764705882353
Ib,0.5235294117647059
nonevent,0.4470588235294118
Ib,0.5352941176470588
Ib,0.49411764705882355
Ib,0.5235294117647059
Ia,0.5647058823529412
Ib,0.48823529411764705
nonevent,0.45294117647058824
nonevent,0.3235294117647059
Ib,0.5
nonevent,0.4470588235294118
nonevent,0.4470588235294118
Ia,0.5470588235294118
Ib,0.4647058823529412
Ib,0.5176470588235295
Ib,0.5235294117647059
Ib,0.5176470588235295
Ib,0.5058823529411764
Ib,0.5235294117647059
nonevent,0.3352941176470588
Ia,0.5411764705882353
Ib,0.45294117647058824
Ib,0.5235294117647059
Ia,0.5411764705882353
Ia,0.5352941176470588
Ia,0.5470588235294118
nonevent,0.43529411764705883
nonevent,0.4176470588235294
nonevent,0.38823529411764707
Ib,0.5470588235294118
Ib,0.4647058823529412
nonevent,0.3941176470588235
Ib,0.5235294117647059
Ib,0.5058823529411764
nonevent,0.32941176470588235
nonevent,0.4411764705882353
nonevent,0.4117647058823529
Ib,0.5235294117647059
Ib,0.5235294117647059
Ib,0.4764705882352941
Ib,0.5235294117647059
nonevent,0.3411764705882353
nonevent,0.4411764705882353
Ib,0.5176470588235295
Ia,0.5470588235294118
Ib,0.5176470588235295
Ib,0.5117647058823529
nonevent,0.34705882352941175
nonevent,0.45294117647058824
Ib,0.5235294117647059
nonevent,0.4176470588235294
nonevent,0.4588235294117647
Ia,0.47058823529411764
nonevent,0.4117647058823529
Ib,0.5235294117647059
Ib,0.5058823529411764
Ib,0.5
Ib,0.5117647058823529
Ib,0.5235294117647059
Ib,0.4764705882352941
Ia,0.5529411764705883
nonevent,0.3176470588235294
nonevent,0.4117647058823529
Ib,0.5058823529411764
Ib,0.49411764705882355
Ib,0.5117647058823529
nonevent,0.3588235294117647
nonevent,0.4411764705882353
Ib,0.5352941176470588
Ib,0.49411764705882355
Ib,0.5529411764705883
nonevent,0.43529411764705883
Ib,0.5294117647058824
Ib,0.5235294117647059
Ib,0.5058823529411764
nonevent,0.4235294117647059
Ib,0.5235294117647059
nonevent,0.4117647058823529
Ib,0.5235294117647059
Ib,0.5117647058823529
nonevent,0.4176470588235294
nonevent,0.32941176470588235
Ib,0.5470588235294118
Ib,0.5117647058823529
Ib,0.5176470588235295
Ib,0.5235294117647059
Ib,0.5235294117647059
Ib,0.5235294117647059
Ib,0.5235294117647059
Ia,0.5470588235294118
Ib,0.5235294117647059
nonevent,0.4117647058823529
Ia,0.5294117647058824
nonevent,0.4
Ib,0.5
nonevent,0.4294117647058823
Ib,0.5176470588235295
nonevent,0.38235294117647056
nonevent,0.3588235294117647
nonevent,0.4823529411764706
Ib,0.5176470588235295
Ib,0.5058823529411764
Ib,0.5235294117647059
Ib,0.5235294117647059
Ib,0.49411764705882355
nonevent,0.34705882352941175
Ib,0.4764705882352941
nonevent,0.3352941176470588
Ib,0.4588235294117647
Ib,0.5235294117647059
Ib,0.49411764705882355
Ib,0.5235294117647059
Ib,0.5176470588235295
nonevent,0.36470588235294116
Ib,0.5294117647058824
nonevent,0.31176470588235294
nonevent,0.32941176470588235
Ib,0.5058823529411764
Ib,0.5235294117647059
Ia,0.5235294117647059
Ib,0.5117647058823529
Ib,0.5294117647058824
Ib,0.5235294117647059
Ia,0.5529411764705883
Ib,0.5
Ia,0.5470588235294118
Ib,0.5176470588235295
Ib,0.5235294117647059
nonevent,0.4176470588235294
nonevent,0.40588235294117647
Ia,0.5588235294117647
nonevent,0.34705882352941175
nonevent,0.3352941176470588
Ia,0.5588235294117647
Ib,0.5352941176470588
Ia,0.5411764705882353
Ib,0.5058823529411764
Ib,0.5235294117647059
nonevent,0.4294117647058823
nonevent,0.3411764705882353
Ib,0.5235294117647059
nonevent,0.4176470588235294
Ib,0.5235294117647059
nonevent,0.3411764705882353
Ib,0.5235294117647059
nonevent,0.4235294117647059
Ib,0.5235294117647059
nonevent,0.34705882352941175
nonevent,0.38235294117647056
Ib,0.5117647058823529
nonevent,0.38235294117647056
nonevent,0.3941176470588235
nonevent,0.45294117647058824
nonevent,0.4235294117647059
Ia,0.5294117647058824
Ib,0.5117647058823529
nonevent,0.40588235294117647
Ib,0.5
nonevent,0.3411764705882353
Ib,0.5235294117647059
nonevent,0.3352941176470588
nonevent,0.3941176470588235
nonevent,0.45294117647058824
Ib,0.4823529411764706
Ia,0.5470588235294118
Ib,0.5235294117647059
Ib,0.5235294117647059
Ib,0.49411764705882355
Ib,0.5588235294117647
Ib,0.5235294117647059
Ib,0.5176470588235295
Ib,0.5235294117647059
Ia,0.5352941176470588
Ia,0.5294117647058824
Ib,0.5
Ia,0.5411764705882353
nonevent,0.4176470588235294
nonevent,0.3176470588235294
Ib,0.5352941176470588
nonevent,0.34705882352941175
nonevent,0.3411764705882353
Ib,0.4764705882352941
nonevent,0.4470588235294118
Ib,0.5235294117647059
Ib,0.49411764705882355
nonevent,0.4764705882352941
Ib,0.5117647058823529
nonevent,0.38235294117647056
Ib,0.5470588235294118
Ib,0.5235294117647059
Ib,0.4588235294117647
Ia,0.5470588235294118
nonevent,0.38823529411764707
nonevent,0.38235294117647056
Ib,0.5117647058823529
Ib,0.5117647058823529
Ia,0.5411764705882353
nonevent,0.4411764705882353
Ib,0.4470588235294118
Ib,0.4647058823529412
Ib,0.5176470588235295
nonevent,0.32941176470588235
Ia,0.5529411764705883
Ib,0.5176470588235295
Ib,0.5117647058823529
nonevent,0.4176470588235294
Ib,0.45294117647058824
Ib,0.5176470588235295
nonevent,0.3352941176470588
nonevent,0.4588235294117647
Ib,0.5176470588235295
nonevent,0.45294117647058824
Ib,0.5117647058823529
Ib,0.5117647058823529
Ib,0.5294117647058824
Ib,0.5176470588235295
Ib,0.5294117647058824
Ib,0.5235294117647059
nonevent,0.37058823529411766
nonevent,0.4411764705882353
Ib,0.49411764705882355
Ia,0.5470588235294118
nonevent,0.4823529411764706
Ib,0.5352941176470588
nonevent,0.34705882352941175
